Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,46,Engineering,0,18.0,38,186658
1,29,Media,2,9.5,36,126334
0,30,Media,2,10.0,21,175572
0,36,Tech,7,13.0,29,183236
0,24,Tech,7,7.0,36,112204
0,35,Other,4,12.5,63,224150
0,32,Other,4,11.0,63,109513
1,27,Other,4,8.5,35,62947
0,35,Other,4,12.5,7,286487
1,36,Other,4,13.0,34,180518
0,25,Operations,3,7.5,6,44375
0,29,Other,4,9.5,58,148573
0,29,Other,4,9.5,60,157166
0,31,Finance,1,10.5,60,110257
0,30,Tech,7,10.0,83,155130
0,35,Other,4,12.5,34,211048
1,29,Media,2,9.5,69,139902
0,28,Tech,7,9.0,15,134162
0,28,Tech,7,9.0,44,140240
0,22,Product,5,6.0,14,76367
0,28,Tech,7,9.0,35,227907
0,30,Operations,3,10.0,12,80333
0,36,Finance,1,13.0,74,122378
1,29,Tech,7,9.5,84,220212
0,34,Other,4,12.0,130,148259
0,31,Tech,7,10.5,44,3898
0,41,Other,4,15.5,58,237806
1,25,Tech,7,7.5,13,100167
0,37,Other,4,13.5,55,180595
0,22,Other,4,6.0,12,73813
1,29,Other,4,9.5,13,66683
0,24,Media,2,7.0,24,63009
0,33,Other,4,11.5,136,344397
0,38,Engineering,0,14.0,8,445267
1,28,Other,4,9.0,38,164465
0,38,Tech,7,14.0,36,321993
0,36,Finance,1,13.0,88,110761
0,29,Other,4,9.5,10,191400
0,40,Media,2,15.0,24,303880
1,33,Tech,7,11.5,11,198049
0,29,Product,5,9.5,59,122568
1,36,Tech,7,13.0,126,181202
1,24,Other,4,7.0,10,96185
0,25,Other,4,7.5,45,105859
0,28,Tech,7,9.0,34,138934
0,35,Other,4,12.5,56,233004
0,28,Tech,7,9.0,49,97847
0,31,Engineering,0,10.5,36,183431
1,30,Tech,7,10.0,47,128369
0,32,Other,4,11.0,87,204496
1,32,Other,4,11.0,48,65681
0,38,Other,4,14.0,45,76504
0,30,Other,4,10.0,7,202333
0,32,Tech,7,11.0,80,197513
0,32,Tech,7,11.0,11,162667
0,25,Engineering,0,7.5,8,123967
0,29,Tech,7,9.5,6,418587
1,41,Engineering,0,15.5,39,221908
1,24,Media,2,7.0,24,80754
1,34,Other,4,12.0,48,101777
0,37,Media,2,13.5,102,352455
0,33,Other,4,11.5,54,105715
0,25,Finance,1,7.5,11,66912
0,34,Other,4,12.0,33,196477
0,28,Other,4,9.0,34,104772
0,29,Other,4,9.5,84,242464
0,35,Other,4,12.5,63,273394
0,32,Other,4,11.0,38,178748
0,28,Engineering,0,9.0,7,183467
0,41,Other,4,15.5,63,477168
0,26,Tech,7,8.0,60,145228
0,26,Engineering,0,8.0,25,135942
1,33,Sales,6,11.5,93,285436
0,33,Tech,7,11.5,33,286415
0,31,Tech,7,10.5,55,364137
0,32,Finance,1,11.0,28,75997
0,24,Tech,7,7.0,36,111498
0,25,Operations,3,7.5,12,256
0,34,Tech,7,12.0,22,227016
0,26,Other,4,8.0,48,133467
0,35,Media,2,12.5,28,229495
0,37,Finance,1,13.5,81,105936
0,36,Media,2,13.0,53,183561
0,27,Other,4,8.5,23,100399
0,31,Tech,7,10.5,69,369749
0,36,Tech,7,13.0,84,296066
0,35,Other,4,12.5,144,363462
0,26,Other,4,8.0,48,85045
0,40,Engineering,0,15.0,37,272687
1,32,Operations,3,11.0,11,143800
0,29,Other,4,9.5,34,142846
1,23,Other,4,6.5,12,73469
0,39,Tech,7,14.5,80,348884
0,32,Other,4,11.0,72,154411
0,36,Tech,7,13.0,93,355671
0,29,Other,4,9.5,33,104615
1,45,Other,4,17.5,131,443054
0,44,Operations,3,17.0,190,377442
0,29,Other,4,9.5,63,192819
0,40,Tech,7,15.0,33,234177
1,28,Tech,7,9.0,84,204752
0,32,Other,4,11.0,72,142274
0,39,Other,4,14.5,47,196790
0,31,Tech,7,10.5,30,188605
0,30,Other,4,10.0,48,138604
0,36,Other,4,13.0,32,237438
0,39,Tech,7,14.5,29,164276
1,29,Media,2,9.5,6,161500
0,42,Tech,7,16.0,118,205742
0,42,Other,4,16.0,23,216529
0,37,Tech,7,13.5,63,273914
0,38,Other,4,14.0,57,176051
0,33,Tech,7,11.5,45,164949
0,35,Other,4,12.5,105,286230
0,41,Other,4,15.5,134,185000
1,28,Other,4,9.0,48,116556
0,34,Other,4,12.0,90,279287
0,37,Operations,3,13.5,136,196891
0,39,Media,2,14.5,53,271006
0,33,Media,2,11.5,13,161219
1,25,Operations,3,7.5,15,86148
0,37,Finance,1,13.5,110,185718
0,25,Engineering,0,7.5,12,100167
0,31,Tech,7,10.5,35,110619
1,26,Other,4,8.0,48,93250
0,35,Tech,7,12.5,40,233541
1,25,Product,5,7.5,13,81178
1,22,Media,2,6.0,12,65087
1,28,Tech,7,9.0,8,167600
1,29,Media,2,9.5,64,235809
1,26,Tech,7,8.0,12,86283
0,26,Other,4,8.0,11,118122
0,29,Media,2,9.5,12,178533
0,40,Other,4,15.0,113,564931
0,21,Tech,7,5.5,12,73813
0,30,Other,4,10.0,23,122794
0,38,Tech,7,14.0,107,235975
0,37,Engineering,0,13.5,18,296225
1,25,Media,2,7.5,36,114002
1,26,Tech,7,8.0,14,121167
0,28,Other,4,9.0,8,163222
0,33,Engineering,0,11.5,39,169257
